coefficients_objectif,matrice_contraintes,borne_contraintes,solution,z_optimal
"[36, 62]","[15, 27, 65, 44, 77, 91]","[29, 8, 145]","[0.0, 0.2]",11
"[84, 94]","[66, 8, 54, 84, 98, 54]","[98, 18, 148]","[0.3, 0.0]",28
"[51, 67]","[75, 53, 51, 90, 90, 56]","[121, 7, 90]","[0.1, 0.0]",7
"[21, 67]","[29, 50, 41, 82, 26, 98]","[3, 71, 74]","[0.0, 0.1]",4
"[6, 4]","[60, 15, 59, 93, 31, 82]","[55, 45, 106]","[0.8, 0.0]",5
"[74, 19]","[82, 18, 87, 96, 81, 55]","[94, 115, 146]","[1.1, 0.2]",85
"[41, 33]","[97, 23, 37, 43, 23, 64]","[30, 17, 74]","[0.3, 0.2]",16
"[72, 44]","[16, 1, 80, 36, 22, 34]","[7, 115, 149]","[0.0, 3.2]",141
"[51, 88]","[24, 34, 82, 18, 24, 94]","[79, 32, 47]","[0.3, 0.4]",52
"[92, 10]","[29, 56, 46, 48, 94, 60]","[85, 57, 104]","[1.1, 0.0]",102
"[37, 29]","[88, 15, 96, 48, 88, 34]","[121, 122, 78]","[0.0, 2.3]",67
"[67, 70]","[89, 23, 35, 29, 81, 74]","[41, 63, 108]","[0.0, 1.5]",102
"[78, 19]","[78, 60, 41, 64, 81, 54]","[78, 59, 69]","[0.9, 0.0]",66
"[69, 16]","[13, 83, 35, 3, 47, 93]","[133, 106, 142]","[3.0, 0.0]",208
"[100, 62]","[26, 35, 29, 46, 49, 35]","[108, 38, 26]","[0.5, 0.0]",53
"[24, 22]","[44, 12, 58, 65, 15, 18]","[43, 106, 80]","[0.7, 1.0]",39
"[19, 38]","[100, 68, 79, 16, 11, 63]","[44, 23, 22]","[0.2, 0.3]",16
"[85, 9]","[5, 29, 86, 68, 86, 19]","[43, 40, 141]","[0.5, 0.0]",40
"[21, 78]","[68, 59, 26, 42, 9, 49]","[91, 144, 27]","[1.0, 0.4]",50
"[32, 40]","[32, 15, 4, 33, 49, 76]","[76, 123, 48]","[1.0, 0.0]",31
"[19, 3]","[25, 86, 25, 58, 97, 42]","[100, 85, 104]","[1.1, 0.0]",20
"[23, 13]","[3, 31, 50, 34, 17, 7]","[75, 49, 140]","[1.0, 0.0]",23
"[79, 92]","[56, 77, 8, 60, 13, 5]","[126, 86, 44]","[2.2, 0.0]",178
"[58, 57]","[20, 73, 56, 10, 72, 53]","[47, 17, 29]","[0.0, 0.5]",31
"[6, 11]","[96, 12, 2, 17, 97, 58]","[7, 142, 134]","[0.0, 0.6]",6
"[41, 1]","[90, 38, 40, 88, 95, 37]","[150, 123, 61]","[0.6, 0.0]",26
"[67, 81]","[78, 22, 70, 23, 44, 66]","[110, 121, 98]","[1.2, 0.7]",136
"[70, 60]","[34, 67, 70, 21, 39, 61]","[59, 131, 70]","[1.7, 0.0]",121
"[6, 58]","[89, 16, 56, 95, 38, 81]","[121, 13, 110]","[0.0, 0.1]",8
"[36, 40]","[48, 24, 55, 62, 3, 89]","[42, 21, 63]","[0.4, 0.0]",14
"[67, 55]","[40, 15, 1, 30, 36, 52]","[13, 9, 65]","[0.2, 0.3]",31
"[57, 82]","[84, 46, 16, 48, 80, 46]","[50, 128, 84]","[0.0, 1.1]",89
"[99, 89]","[65, 74, 40, 33, 100, 35]","[141, 65, 85]","[0.2, 1.7]",174
"[18, 72]","[97, 60, 41, 66, 72, 81]","[88, 129, 124]","[0.0, 1.5]",106
"[29, 55]","[37, 6, 13, 6, 93, 65]","[150, 48, 89]","[0.0, 1.4]",75
"[15, 65]","[3, 36, 51, 28, 76, 66]","[11, 122, 119]","[1.4, 0.2]",33
"[93, 70]","[39, 59, 40, 54, 24, 30]","[68, 92, 143]","[1.7, 0.0]",162
"[39, 37]","[12, 94, 95, 4, 85, 16]","[106, 25, 148]","[0.2, 1.1]",49
"[14, 7]","[72, 94, 48, 8, 80, 44]","[69, 93, 15]","[0.2, 0.0]",3
"[14, 41]","[78, 92, 2, 29, 100, 60]","[122, 104, 60]","[0.0, 1.0]",41
"[37, 16]","[13, 58, 60, 70, 44, 58]","[46, 140, 83]","[1.9, 0.0]",70
"[37, 99]","[28, 94, 69, 23, 51, 41]","[35, 97, 40]","[0.6, 0.2]",42
"[72, 53]","[80, 78, 55, 63, 45, 15]","[148, 7, 34]","[0.1, 0.0]",9
"[9, 14]","[40, 38, 56, 85, 27, 16]","[57, 138, 76]","[0.0, 1.5]",21
"[59, 87]","[75, 94, 42, 77, 52, 42]","[39, 123, 120]","[0.0, 0.4]",36
"[98, 95]","[2, 20, 23, 38, 64, 70]","[14, 115, 47]","[0.7, 0.0]",72
"[53, 14]","[43, 87, 97, 40, 78, 6]","[35, 106, 137]","[0.8, 0.0]",43
"[62, 56]","[57, 43, 58, 36, 19, 73]","[69, 109, 110]","[0.1, 1.5]",89
"[42, 5]","[85, 80, 50, 10, 40, 38]","[128, 6, 51]","[0.1, 0.0]",5
"[84, 95]","[6, 26, 36, 40, 68, 23]","[101, 104, 117]","[0.0, 2.6]",247
"[81, 30]","[69, 20, 66, 67, 92, 34]","[93, 33, 45]","[0.5, 0.0]",40
"[55, 35]","[60, 83, 30, 25, 38, 20]","[107, 62, 35]","[0.4, 1.0]",57
"[59, 21]","[77, 36, 41, 25, 31, 69]","[149, 8, 86]","[0.2, 0.0]",12
"[96, 61]","[82, 78, 69, 70, 100, 91]","[78, 25, 31]","[0.3, 0.0]",30
"[80, 34]","[4, 2, 72, 55, 33, 31]","[140, 45, 111]","[0.6, 0.0]",50
"[58, 81]","[32, 27, 87, 8, 62, 88]","[36, 17, 99]","[0.1, 1.1]",91
"[71, 5]","[24, 32, 11, 88, 58, 85]","[105, 94, 147]","[2.5, 0.0]",180
"[65, 27]","[54, 83, 74, 52, 52, 25]","[100, 94, 75]","[1.3, 0.0]",83
"[49, 9]","[76, 76, 92, 96, 43, 38]","[91, 47, 132]","[0.5, 0.0]",25
"[95, 35]","[39, 30, 50, 1, 69, 65]","[52, 12, 128]","[0.2, 1.5]",71
"[99, 87]","[60, 62, 29, 44, 43, 63]","[111, 139, 146]","[1.9, 0.0]",183
"[30, 83]","[28, 75, 37, 57, 34, 28]","[141, 142, 133]","[0.0, 1.9]",156
"[67, 85]","[26, 1, 4, 4, 5, 20]","[71, 46, 84]","[2.6, 3.6]",476
"[93, 43]","[81, 91, 95, 77, 81, 57]","[85, 59, 86]","[0.6, 0.0]",58
"[35, 82]","[67, 98, 43, 74, 1, 19]","[101, 46, 30]","[0.0, 0.6]",51
"[57, 55]","[47, 91, 25, 66, 35, 81]","[26, 11, 139]","[0.4, 0.0]",25
"[45, 39]","[7, 65, 59, 73, 8, 98]","[68, 47, 63]","[0.8, 0.0]",36
"[22, 40]","[97, 14, 93, 94, 35, 30]","[43, 16, 107]","[0.0, 0.2]",7
"[41, 45]","[9, 29, 90, 94, 59, 16]","[86, 83, 99]","[0.0, 0.9]",40
"[92, 67]","[61, 63, 46, 7, 59, 12]","[60, 2, 126]","[0.0, 0.3]",19
"[41, 86]","[96, 4, 44, 65, 16, 78]","[62, 104, 58]","[0.6, 0.6]",78
"[1, 86]","[4, 14, 48, 74, 56, 25]","[77, 81, 52]","[0.0, 1.1]",94
"[55, 67]","[76, 92, 67, 23, 22, 68]","[119, 19, 27]","[0.2, 0.3]",32
"[2, 78]","[91, 37, 43, 27, 98, 37]","[48, 25, 97]","[0.0, 0.9]",72
"[23, 13]","[97, 36, 57, 94, 54, 1]","[81, 1, 13]","[0.0, 0.0]",0
"[55, 54]","[50, 85, 98, 49, 48, 18]","[116, 26, 42]","[0.0, 0.5]",29
"[97, 44]","[97, 25, 6, 29, 17, 55]","[77, 8, 39]","[0.8, 0.1]",79
"[78, 50]","[39, 13, 56, 33, 4, 53]","[112, 126, 141]","[0.7, 2.6]",186
"[72, 18]","[54, 42, 30, 43, 9, 21]","[2, 93, 37]","[0.0, 0.0]",3
"[99, 30]","[62, 34, 65, 1, 88, 84]","[63, 12, 50]","[0.2, 0.4]",30
"[34, 44]","[48, 98, 86, 61, 86, 81]","[28, 109, 23]","[0.0, 0.3]",12
"[40, 71]","[44, 18, 60, 63, 12, 71]","[109, 23, 40]","[0.0, 0.4]",26
"[55, 19]","[86, 44, 28, 52, 68, 58]","[8, 52, 115]","[0.1, 0.0]",5
"[76, 31]","[69, 42, 82, 91, 88, 60]","[142, 74, 95]","[0.9, 0.0]",69
"[75, 82]","[61, 9, 43, 19, 7, 52]","[75, 97, 88]","[1.0, 1.6]",203
"[98, 76]","[26, 62, 71, 98, 5, 40]","[127, 146, 70]","[2.1, 0.0]",202
"[57, 97]","[28, 66, 61, 12, 1, 71]","[43, 65, 3]","[1.1, 0.0]",63
"[30, 61]","[45, 12, 3, 28, 65, 40]","[68, 20, 65]","[0.6, 0.7]",58
"[86, 9]","[46, 39, 79, 85, 83, 13]","[1, 99, 139]","[0.0, 0.0]",2
"[16, 17]","[25, 40, 81, 38, 89, 10]","[100, 133, 35]","[0.1, 2.4]",43
"[34, 44]","[17, 43, 25, 58, 38, 61]","[76, 13, 34]","[0.5, 0.0]",18
"[10, 73]","[53, 99, 55, 60, 48, 44]","[89, 101, 32]","[0.0, 0.7]",53
"[35, 61]","[26, 8, 36, 62, 97, 34]","[58, 56, 139]","[0.0, 0.9]",55
"[12, 57]","[51, 54, 8, 64, 64, 39]","[93, 137, 95]","[0.0, 1.7]",98
"[44, 6]","[42, 34, 64, 49, 77, 88]","[109, 18, 115]","[0.3, 0.0]",12
"[88, 55]","[94, 7, 35, 47, 77, 60]","[31, 60, 123]","[0.2, 1.1]",82
"[50, 23]","[44, 75, 94, 58, 98, 93]","[112, 26, 59]","[0.3, 0.0]",14
"[39, 41]","[43, 93, 73, 15, 45, 12]","[135, 10, 126]","[0.0, 0.7]",27
"[26, 33]","[59, 89, 54, 84, 85, 65]","[70, 67, 147]","[1.2, 0.0]",31
"[82, 42]","[30, 44, 2, 7, 4, 36]","[117, 116, 119]","[3.9, 0.0]",320
